autor_key,autor_id
OL548174A,0
OL39232A,1
OL300477A,2
OL1433006A,3
OL3778242A,4
OL3905230A,5
OL7607124A,6
OL15975018A,7
OL1353999A,8
OL1391804A,9
OL10746972A,10
OL9388A,11
OL2005953A,12
OL1438837A,13
OL222766A,14
OL639514A,15
OL1425543A,16
OL3114901A,17
OL7606986A,18
OL8084708A,19
OL7337750A,20
OL1239603A,21
OL3106206A,22
OL7914020A,23
OL7904466A,24
OL28952A,25
OL401294A,26
OL2626641A,27
OL8050790A,28
OL2987207A,29
OL26273A,30
OL189792A,31
OL7325773A,32
OL2638349A,33
OL81486A,34
OL1237590A,35
OL241940A,36
OL382182A,37
OL7386651A,38
OL8201647A,39
OL8258896A,40
OL1416857A,41
OL22258A,42
OL8083689A,43
OL7062526A,44
OL7488548A,45
OL2751472A,46
OL53305A,47
OL7162641A,48
OL7482272A,49
OL1394865A,50
OL1437440A,51
OL21774A,52
OL1497568A,53
OL2675811A,54
,55
OL7061772A,56
OL6788565A,57
OL10495431A,58
OL2010417A,59
OL3905115A,60
OL761090A,61
OL2729253A,62
OL7314597A,63
OL7231857A,64
OL7610477A,65
OL220134A,66
OL7609557A,67
OL239353A,68
OL13074505A,69
OL543078A,70
OL9337981A,71
OL5491366A,72
OL7231857A,73
OL589560A,74
OL69672A,75
OL77081A,76
OL77081A,77
OL234743A,78
,79
,80
OL363502A,81
OL3065543A,82
OL223831A,83
OL536078A,84
OL1389873A,85
OL142238A,86
OL7610491A,87
OL8924207A,88
OL20452A,89
OL1401057A,90
OL4881382A,91
OL3128917A,92
OL7273024A,93
OL7273024A,94
OL7273024A,95
OL241769A,96
OL711131A,97
OL8119892A,98
OL8178497A,99
OL9190226A,100
OL9166315A,101
,102
OL1522933A,103
OL9198933A,104
OL10389603A,105
OL1425972A,106
OL538087A,107
OL7093600A,108
OL14818382A,109
OL12120126A,110
,111
OL7115219A,112
,113
OL359809A,114
OL5880972A,115
OL44633A,116
OL6893262A,117
OL3344714A,118
OL3126264A,119
OL6890213A,120
,121
OL6691129A,122
OL7290448A,123
OL958813A,124
OL7526128A,125
OL7115219A,126
,127
OL1434894A,128
OL7170557A,129
OL7607067A,130
OL5599993A,131
OL7115219A,132
OL2630331A,133
OL3319277A,134
OL242016A,135
OL24452A,136
OL7027813A,137
OL433058A,138
OL18319A,139
OL3127125A,140
OL27695A,141
OL3545513A,142
OL1433728A,143
OL715418A,144
OL1392686A,145
OL9102926A,146
OL7541255A,147
OL27695A,148
OL1402850A,149
OL7484649A,150
,151
OL7607601A,152
OL1412764A,153
OL3401651A,154
OL2834855A,155
OL2789840A,156
OL588788A,157
OL15355888A,158
OL7608176A,159
OL9495788A,160
OL20878A,161
OL30553A,162
OL1424506A,163
OL7666996A,164
OL2823474A,165
OL7721134A,166
OL7304239A,167
OL1433728A,168
OL6787957A,169
,170
OL9271992A,171
OL7608156A,172
OL9924527A,173
OL24635A,174
OL549473A,175
OL39830A,176
OL30522A,177
OL7607606A,178
OL7513208A,179
OL7293409A,180
OL5372995A,181
OL26680A,182
OL5116752A,183
OL5372995A,184
,185
OL7609980A,186
OL5372995A,187
OL627874A,188
OL3848969A,189
OL2834855A,190
OL8533258A,191
OL3444922A,192
OL19981A,193
OL31079A,194
,195
OL1401662A,196
OL9925254A,197
OL7327345A,198
OL8001921A,199
OL9110447A,200
OL3121637A,201
OL601275A,202
OL7592478A,203
OL1071215A,204
OL2746824A,205
OL769145A,206
OL440715A,207
OL440715A,208
OL7680382A,209
OL9855993A,210
OL9868205A,211
OL10868137A,212
OL12708578A,213
OL2851A,214
OL2702546A,215
OL608235A,216
OL382527A,217
OL662333A,218
OL382924A,219
OL7731144A,220
OL7609093A,221
OL2944063A,222
OL218768A,223
OL440715A,224
OL7172696A,225
OL1480103A,226
OL32519A,227
OL7353774A,228
OL7395027A,229
OL4441955A,230
OL2652669A,231
OL31358A,232
OL7527957A,233
OL218444A,234
OL82249A,235
OL7414674A,236
OL9249554A,237
OL1926056A,238
OL715418A,239
